,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,银行活期存款利率(税后),399,0.051754385964912275
1,沪深300指数收益率,230,0.8954347826086956
2,中证500指数收益率,145,0.9386206896551724
3,银行人民币活期存款利率(税后),140,0.05357142857142856
4,商业银行活期存款利率(税后),81,0.058024691358024696
5,活期存款利率(税后),59,0.05084745762711863
6,中证800指数收益率,55,0.8490909090909089
7,人民币活期存款利率(税后),53,0.06509433962264151
8,同期银行活期存款利率(税后),50,0.04999999999999999
9,上证国债指数收益率,42,0.16428571428571428
10,中证全债指数收益率,36,0.17638888888888893
11,中债综合指数收益率,35,0.1928571428571429
12,银行同业存款利率,34,0.05294117647058824
13,创业板指数收益率,34,0.95
14,中证综合债指数收益率,33,0.18636363636363637
15,沪深300指数,28,0.8892857142857142
16,中证综合债券指数收益率,26,0.17115384615384616
17,中证1000指数收益率,21,0.9309523809523809
18,上证50指数收益率,21,0.9499999999999998
19,一年期人民币定期存款利率(税后),20,0.05000000000000001
20,中证医药卫生指数收益率,20,0.865
21,中债总指数收益率,19,0.16842105263157894
22,金融机构人民币活期存款基准利率(税后),19,0.05000000000000001
23,中证银行指数收益率,18,0.9499999999999998
24,银行活期存款收益率(税后),17,0.05
25,中证全指证券公司指数收益率,17,0.95
26,人民币银行活期存款利率(税后),16,0.05
27,MSCI中国A股国际通指数收益率,15,0.9499999999999996
28,中证100指数收益率,15,0.9399999999999997
29,中证内地消费主题指数收益率,12,0.85
30,中证全债指数,12,0.16666666666666666
31,中证环保产业指数收益率,12,0.8833333333333333
32,同业存款利率(税后),11,0.1
33,银行活期存款(税后)利率,11,0.05
34,一年期银行储蓄存款利率(税后),11,0.059090909090909104
35,中债综合财富指数收益率,11,0.1863636363636364
36,金融同业存款利率,11,0.05
37,金融机构人民币活期存款利率(税后),10,0
38,中债总财富(总值)指数收益率,9,0
39,中国债券总指数收益率,9,0
40,同业存款利率,9,0
41,深证100价格指数收益率,9,0
42,创业板综合指数收益率,9,0
43,中证新能源汽车指数收益率,8,0
44,中证央企创新驱动指数收益率,8,0
45,粤港澳大湾区创新100指数收益率,8,0
46,MSCI中国A股指数收益率,8,0
47,中债综合指数,8,0
48,中证军工指数收益率,8,0
49,中证红利指数收益率,7,0
50,深证100指数收益率,7,0
51,中证传媒指数收益率,6,0
52,中证700指数收益率,6,0
53,中证TMT产业主题指数收益率,6,0
54,中债综合财富(总值)指数收益率,6,0
55,商业银行活期存款利率(税前),6,0
56,中证医药100指数收益率,6,0
57,银行同业存款收益率,6,0
58,中证全指医药卫生指数收益率,6,0
59,中国人民银行人民币活期存款利率(税后),6,0
60,商业银行人民币活期存款利率(税后),6,0
61,中证国企一带一路指数收益率,6,0
62,中证金融地产指数收益率,5,0
63,央视财经50指数收益率,5,0
64,中证央企结构调整指数收益率,5,0
65,创业板50指数收益率,5,0
66,中证全指房地产指数收益率,5,0
67,中债综合全价(总值)指数收益率,5,0
68,深证成份指数收益率,5,0
69,"1.5%(指年收益率,评价时按期间折算)",5,0
70,中证主要消费指数收益率,5,0
71,中债综合全价指数收益率,4,0
72,同期银行活期存款利率,4,0
73,银行活期存款利率,4,0
74,中证煤炭指数收益率,4,0
75,中证消费50指数收益率,4,0
76,一年期银行定期存款利率(税后),4,0
77,中债综合指数收率,4,0
78,中证人工智能主题指数收益率,4,0
79,上证国债指数,4,0
80,中证新能源汽车产业指数收益率,4,0
81,中债综合指数收益率(全价),4,0
82,中证5G通信主题指数收益率,4,0
