,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,金融机构人民币三年期定期存款基准利率(税后),13,1
1,三年期银行定期存款利率(税后),4,1
2,上证A股指数,4,1
3,6%/年,4,1
4,固定利率年化收益率6%,3,1
5,固定利率年化收益率7%,3,1
6,同期一年期银行定期存款利率,3,1
7,天相小市值指数,2,1
8,一年期银行定期存款利率(税后),2,1
9,中证中信证券量化债股联动稳健策略指数收益率,2,1
10,固定利率年化收益率8%,2,1
11,固定利率年化收益率5%,2,1
12,一年期定期存款利率(税后),2,1
13,"在基金合同生效时的值为0.90元,随着时间的推移每天上涨,在任意一天的斜率为同时期一年期银行存款利率(税后)除以365",1,1
14,三年期银行定期存款加权平均收益率(税前),1,1
15,沪深300指数收益率,1,1
16,同期人民币一年期定期存款利率(税前),1,1
17,一年期银行定期存款利率的2倍(税前),1,1
18,中证消费服务领先指数收益率,1,1
19,固定利率年化收益率10%,1,1
20,同期三年期银行定期存款利率(税前),1,1
21,中证目标日期2045指数收益率,1,1
22,新上证综合指数收益率,1,1
23,一年期银行定期存款收益率(税后),1,1
