,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,人民币活期存款利率(税后),34,0.08088235294117647
1,活期存款利率(税后),28,0.05000000000000001
2,商业银行活期存款基准利率(税后),20,0.06000000000000002
3,巴克莱资本美国综合债券指数收益率,12,0.9333333333333335
4,人民币活期存款收益率(税后),12,0.05833333333333334
5,巴克莱全球债券指数(Barclay Global Aggregate Index),10,0
6,中债综合指数收益率,10,0
7,同期人民币一年定期存款利率(税后),8,0
8,经人民币汇率调整的恒生指数收益率,7,0
9,同期人民币一年期定期存款利率(税后),5,0
10,银行活期存款收益率(税后),5,0
11,固定利率1%,4,1
12,标普500指数收益率(使用估值汇率折算),4,0
13,摩根大通亚洲信用债指数中国子指数(J.P. Morgan Asia Credit Index China)收益率,4,0
14,MSCI全球金矿股指数(MSCI ACWI SELECT GOLD MINERSIMI INDEX),4,0
15,中债综合指数,4,0
16,恒生中国企业指数(使用估值汇率折算)收益率,4,0
17,iBoxx美元债总回报指数(iBoxx USD Overall Total Return Index)收益率,4,0
18,(人民币/港币汇率,4,0
19,固定利率2%,4,1
20,摩根大通1-3年全球投资级美元债总回报指数(J.P. Morgan Global Aggregate US IG 1-3 Total Return Index )(按照估值汇率折算)收益率,4,0
21,中证海外中国互联网50指数收益率,4,0
22,以伦敦黄金市场下午定盘价计价的国际现货黄金(经汇率折算),4,0
23,彭博巴克莱亚太综合债券总收益指数收益率,4,0
24,人民币计价的富时100指数收益率,4,0
25,摩根大通亚洲信用债指数中国子指数,4,0
26,美元一年银行定期存款利率(税后),4,0
27,人民币计价的道琼斯美国石油开发与生产指数收益率,4,0
28,中证中国内地企业500指数收益率,3,0
29,MSCI中国指数收益率,3,0
30,摩根大通全球债券指数(J.P. Morgan Global Aggregate Bond Index),3,0
31,MSCI全球指数(MSCI ACWI),3,0
32,经人民币汇率调整的标普美国品质消费股票指数收益率,3,0
33,人民币同期活期存款利率(税后),3,0
34,富时发达市场REITs指数收益率,3,0
35,中债总指数收益率,3,0
36,MSCI AC Asia Pacific ex Zhonghua,2,0
37,彭博巴克莱新兴市场亚洲高等级美元信用债指数收益率,2,0
38,MSCI Zhonghua,2,0
39,人民币同期活期存款利率,2,0
40,人民币计价的恒生指数,2,0
41,彭博巴克莱全球综合指数收益率,2,0
42,越南VN30指数收益率(使用估值汇率折算),2,0
43,经人民币汇率调整的标的指数(标普500净总收益指数)收益率,2,0
44,WTI原油价格收益率,2,0
45,道琼斯美国精选REIT指数收益率,2,0
46,经人民币汇率调整的标普香港上市中国中小盘指数收益率,2,0
47,人民币计价的恒生中国企业精明指数收益率,2,0
48,标普生物科技精选行业指数收益率(使用估值汇率折算),2,0
49,纳斯达克100指数收益率(使用估值汇率折算),2,0
50,标普500信息科技指数收益率(使用估值汇率折算),2,0
51,香港三个月期银行同业拆借利率(Hong Kong 3-Month Interbank Offer Rate),2,0
52,商业银行活期存款利率(税后),2,0
53,罗素1000成长指数收益率,2,0
54,中证中美互联网指数收益率,2,0
55,中证海外中国互联网指数(人民币计价),2,0
56,恒生综合中小型股指数收益率,2,0
57,恒生综合小型股指数收益率(使用估值汇率折算),2,0
58,BRENT原油价格收益率,2,0
59,人民币计价的MSCI全球指数(MSCI World Index),2,0
60,经人民币汇率调整的富时100指数收益率,2,0
61,中信证券印度ETP指数收益率,2,0
62,银行人民币活期存款利率(税后),2,0
63,同期人民币一年期定期存款利率,2,0
64,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),2,0
65,人民币计价的纳斯达克生物科技指数收益率,2,0
66,中证香港中国中小综合指数收益率,2,0
67,彭博巴克莱新兴市场美元债中国总回报指数,2,0
68,境内银行活期存款利率(税后),2,0
69,标普500医疗保健等权重指数收益率(使用估值汇率折算),2,0
70,彭博巴克莱全球综合债券指数收益率(经汇率调整),2,0
71,中证浙江新动能指数收益率,2,0
72,标准普尔全球BMI市场指数总收益率(S&P Global BMI),1,0
73,经人民币汇率调整的德国DAX指数(DAX Index)收益率,1,0
74,恒生指数收益率,1,0
75,人民币计价的中证海外中国互联网指数收益率,1,0
76,东京证券交易所股价总指数收益率,1,0
77,中证移动互联网指数收益率,1,0
78,人民币计价的标普全球精选自然资源等权重指数(NTR)收益率,1,0
79,恒生指数,1,0
80,MSCI全球股票指数收益率,1,0
81,MSCI欧洲净收益指数(MSCI Europe Index(Total Return Net))收益率,1,0
82,MSCI 所有国家世界指数(MSCI All Country World Index),1,0
83,人民币/港币汇率,1,0
84,中债综合全价(总值)指数收益率,1,0
85,MSCI印度指数收益率(经人民币汇率调整),1,0
86,MSCI世界指数(MSCI World Index),1,0
87,标准普尔全球大中盘指数(S&P Global LargeMidCap Index),1,0
88,MSCI新兴市场指数(MSCI Emerging Markets Index),1,0
89,银行活期存款利率(税后),1,0
90,MSCI中国指数,1,0
91,中证海外中国互联网指数收益率,1,0
92,美国3月政府债券(US 3-Month T-Bills)收益率,1,0
93,恒生指数(Hang Seng Index)收益率,1,0
94,标准普尔全球市场指数(S&P Global BMI),1,0
95,"标准普尔BMI中国(除A,B股)指数总收益率(S&P BMI China ex-A-B-Shares)",1,0
96,香港恒生指数(Hang Seng Index),1,0
