,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
1,000003.OF,中海可转换债券A,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,
2,000004.OF,中海可转换债券C,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,
3,000005.OF,嘉实增强信用,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
4,000006.OF,西部利得量化成长A,混合型基金,偏股混合型基金,中证500指数收益率*75%+同期银行活期存款利率(税后)*25%,中证500指数收益率,75%,同期银行活期存款利率(税后),25%,nan,,nan,,nan,
5,000008.OF,嘉实中证500ETF联接A,股票型基金,被动指数型基金,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
6,000009.OF,易方达天天A,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,
7,000010.OF,易方达天天B,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,
8,000011.OF,华夏大盘精选,混合型基金,偏股混合型基金,富时中国A200指数*80%+富时中国国债指数*20%,富时中国A200指数,80%,富时中国国债指数,20%,nan,,nan,,nan,
9,000013.OF,易方达天天R,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,
10,000014.OF,华夏聚利,债券型基金,混合债券型一级基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
11,000015.OF,华夏纯债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
12,000016.OF,华夏纯债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
13,000017.OF,财通可持续发展主题,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
14,000020.OF,景顺长城品质投资,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%,nan,,nan,,nan,
15,000021.OF,华夏优势增长,混合型基金,偏股混合型基金,富时中国A600指数收益率*80%+中债综合指数(财富)收益率*20%,富时中国A600指数收益率,80%,中债综合指数(财富)收益率,20%,nan,,nan,,nan,
16,000024.OF,大摩双利增强A,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,
17,000025.OF,大摩双利增强C,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,
18,000028.OF,华富安鑫,债券型基金,混合债券型二级基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,
19,000029.OF,富国宏观策略,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%,nan,,nan,,nan,
20,000030.OF,长城核心优选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总财富指数收益率*45%,沪深300指数收益率,55%,中债总财富指数收益率,45%,nan,,nan,,nan,
21,000031.OF,华夏复兴,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
22,000032.OF,易方达信用债A,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,
23,000033.OF,易方达信用债C,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,
24,000037.OF,广发景宁纯债,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+银行一年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,银行一年期定期存款利率(税后),10%,nan,,nan,,nan,
25,000039.OF,农银汇理低估值高增长,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%,nan,,nan,,nan,
26,000041.OF,华夏全球精选,国际(QDII)基金,国际(QDII)股票型基金,摩根士丹利资本国际全球指数(MSCI All Country World Index),摩根士丹利资本国际全球指数(MSCI All Country World Index),,nan,,nan,,nan,,nan,
27,000042.OF,财通中证100指数增强A,股票型基金,增强指数型基金,中证财通中国可持续发展100(ECPI ESG)指数收益率*95%+银行活期存款利率(税后)*5%,中证财通中国可持续发展100(ECPI ESG)指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
28,000043.OF,嘉实美国成长人民币,国际(QDII)基金,国际(QDII)股票型基金,罗素1000成长指数收益率*95%+境内银行活期存款利率(税后)*5%,罗素1000成长指数收益率,95%,境内银行活期存款利率(税后),5%,nan,,nan,,nan,
29,000044.OF,嘉实美国成长美元现汇,国际(QDII)基金,国际(QDII)股票型基金,罗素1000成长指数收益率*95%+境内银行活期存款利率(税后)*5%,罗素1000成长指数收益率,95%,境内银行活期存款利率(税后),5%,nan,,nan,,nan,
30,000045.OF,工银瑞信产业债A,债券型基金,混合债券型二级基金,三年期定期存款利率+1.00%,三年期定期存款利率,,1.00%,,nan,,nan,,nan,
31,000046.OF,工银瑞信产业债B,债券型基金,混合债券型二级基金,三年期定期存款利率+1.00%,三年期定期存款利率,,1.00%,,nan,,nan,,nan,
32,000047.OF,华夏双债增强A,债券型基金,混合债券型一级基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
33,000048.OF,华夏双债增强C,债券型基金,混合债券型一级基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
34,000049.OF,中银标普全球精选,国际(QDII)基金,国际(QDII)股票型基金,人民币计价的标普全球精选自然资源等权重指数(NTR)收益率*95%+人民币活期存款收益率(税后)*5%,人民币计价的标普全球精选自然资源等权重指数(NTR)收益率,95%,人民币活期存款收益率(税后),5%,nan,,nan,,nan,
35,000051.OF,华夏沪深300ETF联接A,股票型基金,被动指数型基金,"沪深300指数收益率*95%+1%(指年收益率,评价时应按期间折算)",沪深300指数收益率,95%,"1%(指年收益率,评价时应按期间折算)",,nan,,nan,,nan,
36,000053.OF,鹏华永诚一年定开,债券型基金,中长期纯债型基金,中债总指数收益率,中债总指数收益率,,nan,,nan,,nan,,nan,
37,000054.OF,鹏华双债增利,债券型基金,混合债券型二级基金,三年期银行定期存款利率(税后)+1.5%,三年期银行定期存款利率(税后),,1.5%,,nan,,nan,,nan,
38,000055.OF,广发纳斯达克100指数A美元(QDII),国际(QDII)基金,国际(QDII)股票型基金,人民币计价的纳斯达克100总收益指数收益率,人民币计价的纳斯达克100总收益指数收益率,,nan,,nan,,nan,,nan,
39,000056.OF,建信消费升级,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%,nan,,nan,,nan,
40,000057.OF,中银消费主题,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,中证内地消费主题指数收益率,75%,上证国债指数收益率,25%,nan,,nan,,nan,
41,000058.OF,国联安安泰灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%,nan,,nan,,nan,
42,000059.OF,国联安中证医药100A,股票型基金,被动指数型基金,中证医药100指数收益率*95%+活期存款利率(税后)*5%,中证医药100指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,
43,000061.OF,华夏盛世精选,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%,nan,,nan,,nan,
44,000063.OF,长盛电子信息主题,混合型基金,灵活配置型基金,中证TMT产业主题指数收益率*50%+中证综合债指数收益率*50%,中证TMT产业主题指数收益率,50%,中证综合债指数收益率,50%,nan,,nan,,nan,
45,000064.OF,大摩纯债稳定增利,债券型基金,中长期纯债型基金,[同期1年期银行定期存款利率(税后)+同期2年期银行定期存款利率(税后)]*1/2,[同期1年期银行定期存款利率(税后),,同期2年期银行定期存款利率(税后)],1/2,nan,,nan,,nan,
46,000065.OF,国富焦点驱动灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,沪深300指数收益率,60%,中债国债总指数收益率(全价),40%,nan,,nan,,nan,
47,000066.OF,诺安鸿鑫,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%,nan,,nan,,nan,
48,000067.OF,民生加银转债优选A,债券型基金,混合债券型二级基金,中证可转债指数收益率*60%+中证国债指数收益率*30%+沪深300指数收益率*10%,中证可转债指数收益率,60%,中证国债指数收益率,30%,沪深300指数收益率,10%,nan,,nan,
49,000068.OF,民生加银转债优选C,债券型基金,混合债券型二级基金,中证可转债指数收益率*60%+中证国债指数收益率*30%+沪深300指数收益率*10%,中证可转债指数收益率,60%,中证国债指数收益率,30%,沪深300指数收益率,10%,nan,,nan,
50,000069.OF,国投瑞银中高等级A,债券型基金,中长期纯债型基金,中证信用债指数收益率*95%+中证可转换债券指数收益率*5%,中证信用债指数收益率,95%,中证可转换债券指数收益率,5%,nan,,nan,,nan,
51,000070.OF,国投瑞银中高等级C,债券型基金,中长期纯债型基金,中证信用债指数收益率*95%+中证可转换债券指数收益率*5%,中证信用债指数收益率,95%,中证可转换债券指数收益率,5%,nan,,nan,,nan,
52,000071.OF,华夏恒生ETF联接A(人民币),国际(QDII)基金,国际(QDII)股票型基金,(人民币/港币汇率*恒生指数)收益率*95%+人民币活期存款利率(税后)*5%,(人民币/港币汇率,恒生指数)收益率,人民币活期存款利率(税后),5%,nan,,nan,,nan,
53,000072.OF,华安稳健回报,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%,nan,,nan,,nan,
54,000073.OF,上投摩根成长动力,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中债总指数收益率*20%,沪深300指数收益率,80%,中债总指数收益率,20%,nan,,nan,,nan,
55,000074.OF,工银信用纯债一年A,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
56,000075.OF,华夏恒生ETF联接A(美元现汇),国际(QDII)基金,国际(QDII)股票型基金,(人民币/港币汇率*恒生指数)收益率*95%+人民币活期存款利率(税后)*5%,(人民币/港币汇率,恒生指数)收益率,人民币活期存款利率(税后),5%,nan,,nan,,nan,
57,000076.OF,华夏恒生ETF联接A(美元现钞),国际(QDII)基金,国际(QDII)股票型基金,(人民币/港币汇率*恒生指数)收益率*95%+人民币活期存款利率(税后)*5%,(人民币/港币汇率,恒生指数)收益率,人民币活期存款利率(税后),5%,nan,,nan,,nan,
58,000077.OF,工银信用纯债一年C,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
59,000078.OF,工银信用纯债两年A,债券型基金,中长期纯债型基金,二年期银行定期存款收益率(税后)+1.2%,二年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
60,000079.OF,工银信用纯债两年C,债券型基金,中长期纯债型基金,二年期银行定期存款收益率(税后)+1.2%,二年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
61,000080.OF,天治可转债增强A,债券型基金,混合债券型二级基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,
62,000081.OF,天治可转债增强C,债券型基金,混合债券型二级基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,
63,000082.OF,嘉实研究阿尔法,股票型基金,普通股票型基金,MSCI中国A股指数收益率*95%+银行活期存款利率(税后)*5%,MSCI中国A股指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
64,000083.OF,汇添富消费行业,混合型基金,偏股混合型基金,中证主要消费行业指数*40%+中证可选消费行业指数*40%+上证国债指数*20%,中证主要消费行业指数,40%,中证可选消费行业指数,40%,上证国债指数,20%,nan,,nan,
65,000084.OF,博时安盈A,债券型基金,短期纯债型基金,中国人民银行公布的1年期定期存款利率(税后),中国人民银行公布的1年期定期存款利率(税后),,nan,,nan,,nan,,nan,
66,000085.OF,博时安盈C,债券型基金,短期纯债型基金,中国人民银行公布的1年期定期存款利率(税后),中国人民银行公布的1年期定期存款利率(税后),,nan,,nan,,nan,,nan,
67,000086.OF,南方稳利1年A,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)*140%,一年期定期存款收益率(税后),140%,nan,,nan,,nan,,nan,
68,000087.OF,嘉实中期国债ETF联接A,债券型基金,被动指数型债券基金,中证金边中期国债指数*95%+银行活期存款利率(税后)*5%,中证金边中期国债指数,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
69,000088.OF,嘉实中期国债ETF联接C,债券型基金,被动指数型债券基金,中证金边中期国债指数*95%+银行活期存款利率(税后)*5%,中证金边中期国债指数,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
70,000089.OF,民生加银高等级信用债C,债券型基金,短期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
71,000090.OF,民生加银高等级信用债A,债券型基金,短期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
72,000103.OF,国泰境外高收益,国际(QDII)基金,国际(QDII)债券型基金,摩根大通亚洲债券中国总收益指数(JACI China Total Return Index)(经估值日汇率调整后的),摩根大通亚洲债券中国总收益指数(JACI China Total Return Index)(经估值日汇率调整后的),,nan,,nan,,nan,,nan,
73,000104.OF,华宸未来稳健添利A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
74,000105.OF,建信安心回报A,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税前),一年期银行定期存款收益率(税前),,nan,,nan,,nan,,nan,
75,000106.OF,建信安心回报C,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税前),一年期银行定期存款收益率(税前),,nan,,nan,,nan,,nan,
76,000107.OF,富国稳健增强AB,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
77,000109.OF,富国稳健增强C,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
78,000110.OF,金鹰元安A,混合型基金,偏债混合型基金,中债总财富(总值)指数收益率*80%+沪深300指数收益率*20%,中债总财富(总值)指数收益率,80%,沪深300指数收益率,20%,nan,,nan,,nan,
79,000111.OF,易方达纯债1年A,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1%,一年期银行定期整存整取存款利率(税后),,1%,,nan,,nan,,nan,
80,000112.OF,易方达纯债1年C,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1%,一年期银行定期整存整取存款利率(税后),,1%,,nan,,nan,,nan,
81,000113.OF,嘉实如意宝AB,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)+0.5%,一年期定期存款收益率(税后),,0.5%,,nan,,nan,,nan,
82,000115.OF,嘉实如意宝C,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)+0.5%,一年期定期存款收益率(税后),,0.5%,,nan,,nan,,nan,
83,000116.OF,嘉实丰益纯债,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+0.5%,一年期银行定期存款收益率(税后),,0.5%,,nan,,nan,,nan,
84,000117.OF,广发轮动配置,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%,nan,,nan,,nan,
85,000118.OF,广发聚鑫A,债券型基金,混合债券型二级基金,中债总全价指数收益率,中债总全价指数收益率,,nan,,nan,,nan,,nan,
86,000119.OF,广发聚鑫C,债券型基金,混合债券型二级基金,中债总全价指数收益率,中债总全价指数收益率,,nan,,nan,,nan,,nan,
87,000120.OF,中银美丽中国,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
88,000121.OF,华夏永福A,混合型基金,偏债混合型基金,一年定期存款利率(税后)+2%,一年定期存款利率(税后),,2%,,nan,,nan,,nan,
89,000122.OF,汇添富实业债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
90,000123.OF,汇添富实业债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
91,000124.OF,华宝服务优选,混合型基金,偏股混合型基金,中证服务业指数收益率*80%+上证国债指数收益率*20%,中证服务业指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
92,000126.OF,招商安润,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*45%,沪深300指数收益率,55%,中债综合全价(总值)指数收益率,45%,nan,,nan,,nan,
93,000127.OF,农银汇理行业领先,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%,nan,,nan,,nan,
94,000128.OF,大成景安短融A,债券型基金,短期纯债型基金,中债短融总指数,中债短融总指数,,nan,,nan,,nan,,nan,
95,000129.OF,大成景安短融B,债券型基金,短期纯债型基金,中债短融总指数,中债短融总指数,,nan,,nan,,nan,,nan,
96,000130.OF,大成景兴信用债A,债券型基金,混合债券型一级基金,中债信用债总指数收益率*85%+同期银行活期存款利率(税后)*15%,中债信用债总指数收益率,85%,同期银行活期存款利率(税后),15%,nan,,nan,,nan,
97,000131.OF,大成景兴信用债C,债券型基金,混合债券型一级基金,中债信用债总指数收益率*85%+同期银行活期存款利率(税后)*15%,中债信用债总指数收益率,85%,同期银行活期存款利率(税后),15%,nan,,nan,,nan,
98,000134.OF,中信保诚嘉鸿A,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,
99,000135.OF,中信保诚嘉鸿C,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,
100,000136.OF,民生加银策略精选A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,沪深300指数收益率,60%,中债国债总指数收益率(全价),40%,nan,,nan,,nan,
101,000137.OF,民生加银岁岁增利A,债券型基金,中长期纯债型基金,同期一年期定期存款利率(税后),同期一年期定期存款利率(税后),,nan,,nan,,nan,,nan,
102,000138.OF,民生加银岁岁增利C,债券型基金,中长期纯债型基金,同期一年期定期存款利率(税后),同期一年期定期存款利率(税后),,nan,,nan,,nan,,nan,
103,000139.OF,富国国有企业债AB,债券型基金,中长期纯债型基金,中证信用债指数,中证信用债指数,,nan,,nan,,nan,,nan,
104,000141.OF,富国国有企业债C,债券型基金,中长期纯债型基金,中证信用债指数,中证信用债指数,,nan,,nan,,nan,,nan,
105,000142.OF,融通增强收益A,债券型基金,混合债券型二级基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
106,000143.OF,鹏华双债加利,债券型基金,混合债券型二级基金,三年期银行定存款利率(税后)+2%,三年期银行定存款利率(税后),,2%,,nan,,nan,,nan,
107,000147.OF,易方达高等级信用债A,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
108,000148.OF,易方达高等级信用债C,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
109,000149.OF,华安双债添利A,债券型基金,中长期纯债型基金,天相可转债指数收益率*40%+中债企业债总指数收益率*40%+中债国债总指数收益率*20%,天相可转债指数收益率,40%,中债企业债总指数收益率,40%,中债国债总指数收益率,20%,nan,,nan,
110,000150.OF,华安双债添利C,债券型基金,中长期纯债型基金,天相可转债指数收益率*40%+中债企业债总指数收益率*40%+中债国债总指数收益率*20%,天相可转债指数收益率,40%,中债企业债总指数收益率,40%,中债国债总指数收益率,20%,nan,,nan,
111,000152.OF,大成景旭纯债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
112,000153.OF,大成景旭纯债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
113,000165.OF,国投瑞银策略精选,混合型基金,灵活配置型基金,沪深300指数*55%+中债总指数*45%,沪深300指数,55%,中债总指数,45%,nan,,nan,,nan,
114,000166.OF,中海信息产业精选,混合型基金,偏股混合型基金,中证TMT产业主题指数收益率*80%+中证全债指数收益率*20%,中证TMT产业主题指数收益率,80%,中证全债指数收益率,20%,nan,,nan,,nan,
115,000167.OF,广发聚优A,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%,nan,,nan,,nan,
116,000171.OF,易方达裕丰回报,债券型基金,混合债券型二级基金,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,中债新综合财富指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
117,000172.OF,华泰柏瑞量化增强A,混合型基金,偏股混合型基金,"沪深300指数收益率*95%+2.5%(指年收益率,评价时按期间折算)",沪深300指数收益率,95%,"2.5%(指年收益率,评价时按期间折算)",,nan,,nan,,nan,
118,000173.OF,汇添富美丽30,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%,nan,,nan,,nan,
119,000174.OF,汇添富高息债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
120,000175.OF,汇添富高息债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
121,000176.OF,嘉实沪深300增强,股票型基金,增强指数型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
122,000179.OF,广发美国房地产人民币,国际(QDII)基金,国际(QDII)另类投资基金,人民币计价的MSCI美国REIT净总收益指数(MSCI US REIT Net Daily Total Return Index),人民币计价的MSCI美国REIT净总收益指数(MSCI US REIT Net Daily Total Return Index),,nan,,nan,,nan,,nan,
123,000180.OF,广发美国房地产美元,国际(QDII)基金,国际(QDII)另类投资基金,人民币计价的MSCI美国REIT净总收益指数(MSCI US REIT Net Daily Total Return Index),人民币计价的MSCI美国REIT净总收益指数(MSCI US REIT Net Daily Total Return Index),,nan,,nan,,nan,,nan,
124,000181.OF,景顺长城四季金利A,债券型基金,混合债券型二级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
125,000182.OF,景顺长城四季金利C,债券型基金,混合债券型二级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
126,000183.OF,嘉实丰益策略,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)+0.5%,一年期定期存款收益率(税后),,0.5%,,nan,,nan,,nan,
127,000184.OF,工银瑞信添福A,债券型基金,混合债券型二级基金,三年期定期存款利率+1.5%,三年期定期存款利率,,1.5%,,nan,,nan,,nan,
128,000185.OF,工银瑞信添福B,债券型基金,混合债券型二级基金,三年期定期存款利率+1.5%,三年期定期存款利率,,1.5%,,nan,,nan,,nan,
129,000186.OF,华泰柏瑞季季红,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1%,一年期银行定期存款收益率(税后),,1%,,nan,,nan,,nan,
130,000187.OF,华泰柏瑞丰盛纯债A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
131,000188.OF,华泰柏瑞丰盛纯债C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
132,000189.OF,易方达丰华A,债券型基金,混合债券型二级基金,中债总指数收益率*90%+沪深300指数收益率*10%,中债总指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
133,000190.OF,中银新回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*45%+银行活期存款利率(税后)*5%,沪深300指数收益率,50%,中债综合指数收益率,45%,银行活期存款利率(税后),5%,nan,,nan,
134,000191.OF,富国信用债A,债券型基金,中长期纯债型基金,中债企业债总全价指数,中债企业债总全价指数,,nan,,nan,,nan,,nan,
135,000192.OF,富国信用债C,债券型基金,中长期纯债型基金,中债企业债总全价指数,中债企业债总全价指数,,nan,,nan,,nan,,nan,
136,000194.OF,银华信用四季红A,债券型基金,中长期纯债型基金,中债综合指数(全价),中债综合指数(全价),,nan,,nan,,nan,,nan,
137,000195.OF,工银瑞信成长收益A,混合型基金,灵活配置型基金,沪深300指数*60%+中证全债指数*40%,沪深300指数,60%,中证全债指数,40%,nan,,nan,,nan,
138,000196.OF,工银瑞信成长收益B,混合型基金,灵活配置型基金,沪深300指数*60%+中证全债指数*40%,沪深300指数,60%,中证全债指数,40%,nan,,nan,,nan,
139,000197.OF,富国一年期纯债,债券型基金,中长期纯债型基金,同期中国人民银行公布的一年期定期存款基准利率(税后)+1%,同期中国人民银行公布的一年期定期存款基准利率(税后),,1%,,nan,,nan,,nan,
140,000198.OF,天弘余额宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,
141,000199.OF,国泰量化策略收益,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证综合债指数收益率*25%,沪深300指数收益率,75%,中证综合债指数收益率,25%,nan,,nan,,nan,
142,000200.OF,博时岁岁增利,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)*1.1,银行一年期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,
143,000201.OF,诺安泰鑫一年A,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
144,000203.OF,国富日日收益A,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,
145,000204.OF,国富日日收益B,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,
146,000205.OF,易方达投资级信用债A,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
147,000206.OF,易方达投资级信用债C,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
148,000207.OF,建信双债增强A,债券型基金,混合债券型一级基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
