,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,沪深300指数收益率,107,0.09710280373831776
1,中证可转换债券指数收益率,40,0.6387499999999999
2,中债综合财富(总值)指数收益率,27,0.6648148148148147
3,中债综合指数收益率,18,0.39444444444444443
4,恒生指数收益率,16,0.056666666666666685
5,中债企业债总全价指数收益率,12,0.4708333333333334
6,中债综合财富(1年以下)指数收益率,10,0
7,中证综合债券指数收益率,10,0
8,中债综合全价(总值)指数收益率,9,0
9,中债综合财富指数收益率,9,0
10,一年期定期存款利率(税后),8,0
11,银行活期存款利率(税后),8,0
12,中债综合财富(1-3年)指数收益率,8,0
13,中债国债总全价指数收益率,7,0
14,中信标普可转债指数收益率,7,0
15,中证800指数收益率,7,0
16,中债国债总指数收益率,7,0
17,金融机构人民币活期存款基准利率(税后),7,0
18,中证可转债指数收益率,6,0
19,天相可转债指数收益率,6,0
20,中证可转换债券指数,6,0
21,中证全债指数收益率,6,0
22,中债综合全价指数收益率,5,0
23,中证综合债指数收益率,4,0
24,中债总指数(全价)收益率,4,0
25,恒生综合指数收益率,4,0
26,中证港股通综合指数收益率,4,0
27,中债新综合财富(1年以下)指数收益率,3,0
28,天相转债指数收益率,3,0
29,金融机构人民币活期存款利率(税后),3,0
30,中债新综合指数收益率(全价),3,0
31,中债-综合全价(总值)指数收益率,3,0
32,人民币计价的恒生指数收益率,3,0
33,中债新综合财富(1-3年)指数收益率,3,0
34,一年期定期存款利率,3,0
35,中证国债指数收益率,2,0
36,中债企业债总指数,2,0
37,中国债券综合全价指数收益率,2,0
38,中证政策性金融债8-10年指数收益率,2,0
39,金融机构人民币活期存款基准利率,2,0
40,一年定期存款利率(税后),2,0
41,经汇率调整的恒生指数收益率,2,0
42,深证A股指数),2,0
43,中证港股通综合指数(人民币)收益率,2,0
44,恒生高股息率指数收益率,2,0
45,经人民币汇率调整的中证港股通综合指数收益率,2,0
46,中债金融债总指数,2,0
47,中债-0-3年AA,2,0
48,标普中国可转债指数收益率,2,0
49,中证500指数收益率,2,0
50,优选信用债指数收益率,2,0
51,恒生指数收益率(使用估值汇率调整),2,0
52,中债企业债总指数收益率,2,0
53,中债总指数收益率,2,0
54,沪深300收益率,2,0
55,上证国债指数收益率,2,0
56,中债国债总指数,2,0
57,恒生综合指数收益率(经汇率调整后),2,0
58,上证红利指数,2,0
59,中债综合财富指数,2,0
60,(上证A股指数,2,0
61,1年期定期存款利率(税后),2,0
62,中证政策性金融债5-8年指数收益率,2,0
63,中国债券总指数收益率,2,0
64,交易所国债指数,2,0
65,中证公司债AAA指数收益率,1,0
66,中债总财富(总值)指数收益率,1,0
67,中债新综合指数收益率,1,0
68,银行活期存款收益率(税后),1,0
69,中债新综合财富(总值)指数收益率,1,0
70,中债新综合财富指数收益率,1,0
71,国证利率债0-1年指数收益率,1,0
72,国证利率债1-5年指数收益率,1,0
73,中债综合指数(全价)收益率,1,0
74,中债-总财富(总值)指数收益率,1,0
