,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,创业板指数收益率,12,1
1,沪深300指数收益率,11,1
2,中证500指数收益率,11,1
3,沪深300指数,10,1
4,中证500指数,8,1
5,中证银行指数收益率,6,1
6,中证全指证券公司指数收益率,6,1
7,上证50指数,6,1
8,中证800指数收益率,6,1
9,中证光伏产业指数收益率,5,1
10,MSCI中国A股国际通指数收益率,5,1
11,上证科创板50成份指数收益率,4,1
12,中证央企创新驱动指数收益率,4,1
13,上证50指数收益率,4,1
14,MSCI中国A股人民币指数收益率,4,1
15,中证国企一带一路指数收益率,3,1
16,中证红利指数收益率,3,1
17,中证央企结构调整指数收益率,3,1
18,中证全指证券公司指数,3,1
19,中证新能源汽车指数收益率,3,1
20,中证人工智能主题指数收益率,3,1
21,中证沪港深500指数收益率,3,1
22,国证半导体芯片指数收益率,3,1
23,中证全指房地产指数收益率,2,1
24,道琼斯中国88指数,2,1
25,中证电子50指数收益率,2,1
26,深证成份指数,2,1
27,中证大数据产业指数收益率,2,1
28,中证科技龙头指数收益率,2,1
29,中证沪港深互联网指数收益率,2,1
30,创业板指数,2,1
31,中证创新药产业指数,2,1
32,中证军工指数,2,1
33,粤港澳大湾区创新100指数收益率,2,1
34,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,2,1
35,中证细分食品饮料产业主题指数收益率,2,1
36,创业板大盘指数收益率,2,1
37,中证军工指数收益率,2,1
38,中证计算机主题指数收益率,2,1
39,中证研发创新100指数,2,1
40,中证智能汽车主题指数收益率,2,1
41,中证传媒指数收益率,2,1
42,恒生中国企业指数收益率(经汇率调整),2,1
43,中证100指数,2,1
44,中证医疗指数收益率,2,1
45,国证香蜜湖金融科技指数,2,1
46,中证生物科技主题指数收益率,2,1
47,富时中国A50指数收益率,2,1
48,中证创新药产业指数收益率,2,1
49,中证人工智能产业指数收益率,1,1
50,中证申万有色金属指数收益率,1,1
51,中证细分有色金属产业主题指数收益率,1,1
52,中证生物医药指数收益率,1,1
53,中证500等权重指数,1,1
54,中证医药健康100策略指数收益率,1,1
55,创业板低波蓝筹指数收益率,1,1
56,深证红利价格指数,1,1
57,国证创业板中盘精选88指数,1,1
58,中证京津冀协同发展主题指数收益率,1,1
59,中证锐联基本面50指数收益率,1,1
60,中证科技50策略指数收益率,1,1
61,中小板300价格指数,1,1
62,恒生指数(使用估值汇率调整),1,1
63,中证500深市价格指数,1,1
64,中证全指半导体产品与设备指数收益率,1,1
65,中证沪港深300指数,1,1
66,中证先进制造100策略指数收益率,1,1
67,上证综合指数,1,1
68,中证金融地产指数收益率,1,1
69,中证高股息龙头指数收益率,1,1
70,中证高股息精选指数收益率,1,1
71,MSCI中国A股国际质量指数收益率,1,1
